PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=124 ttl=64 time=245 ms
64 bytes from 10.0.0.4: icmp_seq=125 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=126 ttl=64 time=225 ms
64 bytes from 10.0.0.4: icmp_seq=127 ttl=64 time=247 ms
64 bytes from 10.0.0.4: icmp_seq=128 ttl=64 time=173 ms
64 bytes from 10.0.0.4: icmp_seq=131 ttl=64 time=226 ms
64 bytes from 10.0.0.4: icmp_seq=132 ttl=64 time=250 ms
64 bytes from 10.0.0.4: icmp_seq=133 ttl=64 time=247 ms
64 bytes from 10.0.0.4: icmp_seq=134 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=135 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=136 ttl=64 time=217 ms
64 bytes from 10.0.0.4: icmp_seq=137 ttl=64 time=248 ms
64 bytes from 10.0.0.4: icmp_seq=138 ttl=64 time=173 ms
64 bytes from 10.0.0.4: icmp_seq=141 ttl=64 time=247 ms
64 bytes from 10.0.0.4: icmp_seq=142 ttl=64 time=225 ms
64 bytes from 10.0.0.4: icmp_seq=143 ttl=64 time=218 ms
64 bytes from 10.0.0.4: icmp_seq=144 ttl=64 time=219 ms
64 bytes from 10.0.0.4: icmp_seq=146 ttl=64 time=241 ms
64 bytes from 10.0.0.4: icmp_seq=147 ttl=64 time=247 ms
64 bytes from 10.0.0.4: icmp_seq=148 ttl=64 time=170 ms
64 bytes from 10.0.0.4: icmp_seq=149 ttl=64 time=241 ms
64 bytes from 10.0.0.4: icmp_seq=150 ttl=64 time=245 ms
64 bytes from 10.0.0.4: icmp_seq=151 ttl=64 time=141 ms
64 bytes from 10.0.0.4: icmp_seq=153 ttl=64 time=224 ms
64 bytes from 10.0.0.4: icmp_seq=154 ttl=64 time=217 ms
64 bytes from 10.0.0.4: icmp_seq=155 ttl=64 time=218 ms
64 bytes from 10.0.0.4: icmp_seq=156 ttl=64 time=249 ms
64 bytes from 10.0.0.4: icmp_seq=157 ttl=64 time=213 ms
64 bytes from 10.0.0.4: icmp_seq=158 ttl=64 time=226 ms
64 bytes from 10.0.0.4: icmp_seq=160 ttl=64 time=196 ms
64 bytes from 10.0.0.4: icmp_seq=161 ttl=64 time=249 ms
