--2016-10-02 17:24:31--  http://10.0.0.2:5003/625M.log
Connecting to 10.0.0.2:5003... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.8’

     0K .......... .......... .......... .......... ..........  0% 14.8M 42s
    50K .......... .......... .......... .......... ..........  0% 8.57M 58s
   100K .......... .......... .......... .......... ..........  0% 13.5M 54s
   150K .......... .......... .......... .......... ..........  0% 11.9M 54s
   200K .......... .......... .......... .......... ..........  0% 10.3M 55s
   250K .......... .......... .......... .......... ..........  0%  932K 2m40s
   300K .......... .......... .......... .......... ..........  0% 1.21M 3m31s
   350K .......... .......... .......... .......... ..........  0% 17.1M 3m9s
   400K .......... .......... .......... .......... ..........  0% 2.35M 3m18s
   450K .......... .......... .......... .......... ..........  0% 8.98M 3m5s
   500K .......... .......... .......... .......... ..........  0% 9.58M 2m54s
   550K .......... .......... .......... .......... ..........  0% 10.1M 2m45s
   600K .......... .......... .......... .......... ..........  0% 11.2M 2m36s
   650K .......... .......... .......... .......... ..........  0% 5.65M 2m33s
   700K .......... .......... .......... .......... ..........  0% 10.4M 2m27s
   750K .......... .......... .......... .......... ..........  0% 10.3M 2m21s
   800K .......... .......... .......... .......... ..........  0% 8.97M 2m17s
   850K .......... .......... .......... .......... ..........  0% 10.3M 2m13s
   900K .......... .......... .......... .......... ..........  0% 10.4M 2m9s
   950K .......... .......... .......... .......... ..........  0% 10.8M 2m6s
  1000K .......... .......... .......... .......... ..........  0% 10.9M 2m2s
  1050K .......... .......... .......... .......... ..........  0% 9.92M 2m0s
  1100K .......... .......... .......... .......... ..........  0% 8.23M 1m58s
  1150K .......... .......... .......... .......... ..........  0% 10.9M 1m55s
  1200K .......... .......... .......... .......... ..........  0% 10.9M 1m53s
  1250K .......... .......... .......... .......... ..........  0% 10.1M 1m51s
  1300K .......... .......... .......... .......... ..........  0% 10.1M 1m49s
  1350K .......... .......... .......... .......... ..........  0%  852K 2m12s
  1400K .......... .......... .......... .......... ..........  0% 2.84M 2m15s
  1450K .......... .......... .......... .......... ..........  0% 5.75M 2m14s
  1500K .......... .......... .......... .......... ..........  0% 2.65M 2m17s
  1550K .......... .......... .......... .......... ..........  0% 8.76M 2m15s
  1600K .......... .......... .......... .......... ..........  0% 10.3M 2m13s
  1650K .......... .......... .......... .......... ..........  0% 10.3M 2m11s
  1700K .......... .......... .......... .......... ..........  0% 5.89M 2m10s
  1750K .......... .......... .......... .......... ..........  0%  248K 3m18s
  1800K .......... .......... .......... .......... ..........  0%  486M 3m12s
  1850K .......... .......... .......... .......... ..........  0%  496M 3m7s
  1900K .......... .......... .......... .......... ..........  0%  330M 3m3s
  1950K .......... .......... .......... .......... ..........  0%  340M 2m58s
  2000K .......... .......... .......... .......... ..........  0%  433M 2m54s
  2050K .......... .......... .......... .......... ..........  0%  390M 2m50s
  2100K .......... .......... .......... .......... ..........  0%  520M 2m46s
  2150K .......... .......... .......... .......... ..........  0%  541M 2m42s
  2200K .......... .......... .......... .......... ..........  0% 13.1M 2m39s
  2250K .......... .......... .......... .......... ..........  0% 9.98M 2m37s
  2300K .......... .......... .......... .......... ..........  0% 10.1M 2m35s
  2350K .......... .......... .......... .......... ..........  0% 10.1M 2m33s
  2400K .......... .......... .......... .......... ..........  0% 10.6M 2m31s
  2450K .......... .......... .......... .......... ..........  0% 6.48M 2m30s
  2500K .......... .......... .......... .......... ..........  0%  248K 3m18s
  2550K .......... .......... .......... .......... ..........  0%  175M 3m14s
  2600K .......... .......... .......... .......... ..........  0%  167M 3m10s
  2650K .......... .......... .......... .......... ..........  0%  182M 3m7s
  2700K .......... .......... .......... .......... ..........  0%  172M 3m4s
  2750K .......... .......... .......... .......... ..........  0%  204M 3m0s
  2800K .......... .......... .......... .......... ..........  0%  159M 2m57s
  2850K .......... .......... .......... .......... ..........  0%  168M 2m54s
  2900K .......... .......... .......... .......... ..........  0%  351M 2m51s
  2950K .......... .......... .......... .......... ..........  0%  417M 2m48s
  3000K .......... .......... .......... .......... ..........  0%  416M 2m46s
  3050K .......... .......... .......... .......... ..........  0%  412M 2m43s
  3100K .......... .......... .......... .......... ..........  0%  353M 2m40s
  3150K .......... .......... .......... .......... ..........  0%  247K 3m18s
  3200K .......... .......... .......... .......... ..........  0%  734M 3m15s
  3250K .......... .......... .......... .......... ..........  0%  744M 3m12s
  3300K .......... .......... .......... .......... ..........  0%  556M 3m9s
  3350K .......... .......... .......... .......... ..........  0%  715M 3m6s
  3400K .......... .......... .......... .......... ..........  0%  824M 3m4s
  3450K .......... .......... .......... .......... ..........  0%  842M 3m1s
  3500K .......... .......... .......... .......... ..........  0%  721M 2m59s
  3550K .......... .......... .......... .......... ..........  0%  800M 2m56s
  3600K .......... .......... .......... .......... ..........  0%  814M 2m54s
  3650K .......... .......... .......... .......... ..........  0%  719M 2m51s
  3700K .......... .......... .......... .......... ..........  0%  692M 2m49s
  3750K .......... .......... .......... .......... ..........  0%  483M 2m47s
  3800K .......... .......... .......... .......... ..........  0%  248K 3m18s
  3850K .......... .......... .......... .......... ..........  0%  149M 3m16s
  3900K .......... .......... .......... .......... ..........  0%  162M 3m13s
  3950K .......... .......... .......... .......... ..........  0% 88.4M 3m11s
  4000K .......... .......... .......... .......... ..........  0%  108M 3m8s
  4050K .......... .......... .......... .......... ..........  0%  100M 3m6s
  4100K .......... .......... .......... .......... ..........  0% 65.6M 3m4s
  4150K .......... .......... .......... .......... ..........  0%  131M 3m2s
  4200K .......... .......... .......... .......... ..........  0%  105M 3m0s
  4250K .......... .......... .......... .......... ..........  0%  106M 2m58s
  4300K .......... .......... .......... .......... ..........  0% 87.0M 2m56s
  4350K .......... .......... .......... .......... ..........  0%  115M 2m54s
  4400K .......... .......... .......... .......... ..........  0% 99.4M 2m52s
  4450K .......... .......... .......... .......... ..........  0%  248K 3m19s
  4500K .......... .......... .......... .......... ..........  0%  469M 3m16s
  4550K .......... .......... .......... .......... ..........  0%  554M 3m14s
  4600K .......... .......... .......... .......... ..........  0%  375M 3m12s
  4650K .......... .......... .......... .......... ..........  0%  504M 3m10s
  4700K .......... .......... .......... .......... ..........  0%  325M 3m8s
  4750K .......... .......... .......... .......... ..........  0%  575M 3m6s
  4800K .......... .......... .......... .......... ..........  0%  462M 3m4s
  4850K .......... .......... .......... .......... ..........  0%  597M 3m2s
