PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=223 ms
64 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=265 ms
64 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=271 ms
64 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=258 ms
64 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=259 ms
64 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=258 ms
64 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=232 ms
64 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=203 ms
64 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=202 ms
64 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=246 ms
64 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=236 ms
64 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=241 ms
64 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=243 ms
64 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=240 ms
64 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=250 ms
64 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=240 ms
64 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=240 ms
64 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=239 ms
64 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=248 ms
64 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=248 ms
64 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=246 ms
64 bytes from 10.0.0.6: icmp_seq=31 ttl=64 time=251 ms
64 bytes from 10.0.0.6: icmp_seq=32 ttl=64 time=233 ms
64 bytes from 10.0.0.6: icmp_seq=34 ttl=64 time=247 ms
64 bytes from 10.0.0.6: icmp_seq=35 ttl=64 time=239 ms
64 bytes from 10.0.0.6: icmp_seq=36 ttl=64 time=247 ms
64 bytes from 10.0.0.6: icmp_seq=37 ttl=64 time=186 ms
64 bytes from 10.0.0.6: icmp_seq=38 ttl=64 time=239 ms
64 bytes from 10.0.0.6: icmp_seq=39 ttl=64 time=205 ms
64 bytes from 10.0.0.6: icmp_seq=40 ttl=64 time=200 ms
64 bytes from 10.0.0.6: icmp_seq=43 ttl=64 time=201 ms
64 bytes from 10.0.0.6: icmp_seq=44 ttl=64 time=202 ms
64 bytes from 10.0.0.6: icmp_seq=45 ttl=64 time=250 ms
64 bytes from 10.0.0.6: icmp_seq=46 ttl=64 time=248 ms
64 bytes from 10.0.0.6: icmp_seq=47 ttl=64 time=223 ms
64 bytes from 10.0.0.6: icmp_seq=48 ttl=64 time=249 ms
64 bytes from 10.0.0.6: icmp_seq=50 ttl=64 time=241 ms
64 bytes from 10.0.0.6: icmp_seq=51 ttl=64 time=113 ms
64 bytes from 10.0.0.6: icmp_seq=53 ttl=64 time=169 ms
64 bytes from 10.0.0.6: icmp_seq=54 ttl=64 time=249 ms
64 bytes from 10.0.0.6: icmp_seq=55 ttl=64 time=212 ms
64 bytes from 10.0.0.6: icmp_seq=56 ttl=64 time=239 ms
64 bytes from 10.0.0.6: icmp_seq=58 ttl=64 time=249 ms
64 bytes from 10.0.0.6: icmp_seq=60 ttl=64 time=248 ms
64 bytes from 10.0.0.6: icmp_seq=61 ttl=64 time=203 ms
64 bytes from 10.0.0.6: icmp_seq=62 ttl=64 time=227 ms
64 bytes from 10.0.0.6: icmp_seq=64 ttl=64 time=180 ms
64 bytes from 10.0.0.6: icmp_seq=65 ttl=64 time=216 ms
64 bytes from 10.0.0.6: icmp_seq=67 ttl=64 time=220 ms
64 bytes from 10.0.0.6: icmp_seq=68 ttl=64 time=238 ms
64 bytes from 10.0.0.6: icmp_seq=69 ttl=64 time=234 ms
64 bytes from 10.0.0.6: icmp_seq=70 ttl=64 time=250 ms
64 bytes from 10.0.0.6: icmp_seq=71 ttl=64 time=168 ms
64 bytes from 10.0.0.6: icmp_seq=72 ttl=64 time=226 ms
64 bytes from 10.0.0.6: icmp_seq=73 ttl=64 time=246 ms
64 bytes from 10.0.0.6: icmp_seq=76 ttl=64 time=173 ms
64 bytes from 10.0.0.6: icmp_seq=78 ttl=64 time=250 ms
64 bytes from 10.0.0.6: icmp_seq=79 ttl=64 time=246 ms
64 bytes from 10.0.0.6: icmp_seq=81 ttl=64 time=245 ms
