--2016-10-02 17:24:11--  http://10.0.0.3:5002/625M.log
Connecting to 10.0.0.3:5002... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.6’

     0K .......... .......... .......... .......... ..........  0% 7.69M 81s
    50K .......... .......... .......... .......... ..........  0% 2.80M 2m32s
   100K .......... .......... .......... .......... ..........  0% 11.3M 2m0s
   150K .......... .......... .......... .......... ..........  0% 11.2M 1m44s
   200K .......... .......... .......... .......... ..........  0% 5.44M 1m46s
   250K .......... .......... .......... .......... ..........  0% 7.02M 1m43s
   300K .......... .......... .......... .......... ..........  0% 4.33M 1m49s
   350K .......... .......... .......... .......... ..........  0% 11.4M 1m42s
   400K .......... .......... .......... .......... ..........  0% 11.1M 97s
   450K .......... .......... .......... .......... ..........  0% 11.6M 93s
   500K .......... .......... .......... .......... ..........  0% 11.3M 89s
   550K .......... .......... .......... .......... ..........  0% 11.1M 87s
   600K .......... .......... .......... .......... ..........  0% 6.31M 88s
   650K .......... .......... .......... .......... ..........  0% 7.17M 88s
   700K .......... .......... .......... .......... ..........  0% 11.2M 85s
   750K .......... .......... .......... .......... ..........  0% 11.9M 83s
   800K .......... .......... .......... .......... ..........  0% 11.4M 82s
   850K .......... .......... .......... .......... ..........  0% 11.8M 80s
   900K .......... .......... .......... .......... ..........  0% 11.2M 79s
   950K .......... .......... .......... .......... ..........  0% 11.2M 78s
  1000K .......... .......... .......... .......... ..........  0%  242K 3m19s
  1050K .......... .......... .......... .......... ..........  0%  447M 3m10s
  1100K .......... .......... .......... .......... ..........  0%  566M 3m2s
  1150K .......... .......... .......... .......... ..........  0%  701M 2m55s
  1200K .......... .......... .......... .......... ..........  0%  625M 2m48s
  1250K .......... .......... .......... .......... ..........  0%  583M 2m41s
  1300K .......... .......... .......... .......... ..........  0% 46.9M 2m36s
  1350K .......... .......... .......... .......... ..........  0% 11.8M 2m32s
  1400K .......... .......... .......... .......... ..........  0% 11.2M 2m29s
  1450K .......... .......... .......... .......... ..........  0% 11.2M 2m26s
  1500K .......... .......... .......... .......... ..........  0% 11.0M 2m23s
  1550K .......... .......... .......... .......... ..........  0% 11.6M 2m20s
  1600K .......... .......... .......... .......... ..........  0% 12.0M 2m17s
  1650K .......... .......... .......... .......... ..........  0% 11.2M 2m15s
  1700K .......... .......... .......... .......... ..........  0% 11.8M 2m13s
  1750K .......... .......... .......... .......... ..........  0% 11.0M 2m10s
  1800K .......... .......... .......... .......... ..........  0%  244K 3m18s
  1850K .......... .......... .......... .......... ..........  0%  182M 3m12s
  1900K .......... .......... .......... .......... ..........  0%  199M 3m8s
  1950K .......... .......... .......... .......... ..........  0%  174M 3m3s
  2000K .......... .......... .......... .......... ..........  0%  206M 2m59s
  2050K .......... .......... .......... .......... ..........  0%  205M 2m54s
  2100K .......... .......... .......... .......... ..........  0%  198M 2m50s
  2150K .......... .......... .......... .......... ..........  0%  175M 2m47s
  2200K .......... .......... .......... .......... ..........  0%  202M 2m43s
  2250K .......... .......... .......... .......... ..........  0%  205M 2m39s
  2300K .......... .......... .......... .......... ..........  0%  203M 2m36s
  2350K .......... .......... .......... .......... ..........  0%  139M 2m33s
  2400K .......... .......... .......... .......... ..........  0%  248M 2m30s
  2450K .......... .......... .......... .......... ..........  0%  247K 3m18s
  2500K .......... .......... .......... .......... ..........  0%  127M 3m15s
  2550K .......... .......... .......... .......... ..........  0%  148M 3m11s
  2600K .......... .......... .......... .......... ..........  0%  195M 3m7s
  2650K .......... .......... .......... .......... ..........  0%  153M 3m4s
  2700K .......... .......... .......... .......... ..........  0%  129M 3m1s
  2750K .......... .......... .......... .......... ..........  0% 95.8M 2m57s
  2800K .......... .......... .......... .......... ..........  0% 65.1M 2m55s
  2850K .......... .......... .......... .......... ..........  0%  107M 2m52s
  2900K .......... .......... .......... .......... ..........  0%  107M 2m49s
  2950K .......... .......... .......... .......... ..........  0% 98.5M 2m46s
  3000K .......... .......... .......... .......... ..........  0%  139M 2m43s
  3050K .......... .......... .......... .......... ..........  0%  112M 2m41s
  3100K .......... .......... .......... .......... ..........  0%  248K 3m19s
  3150K .......... .......... .......... .......... ..........  0% 77.8M 3m16s
  3200K .......... .......... .......... .......... ..........  0%  187M 3m13s
  3250K .......... .......... .......... .......... ..........  0%  147M 3m10s
  3300K .......... .......... .......... .......... ..........  0%  190M 3m7s
  3350K .......... .......... .......... .......... ..........  0%  158M 3m5s
  3400K .......... .......... .......... .......... ..........  0%  125M 3m2s
  3450K .......... .......... .......... .......... ..........  0%  103M 3m0s
  3500K .......... .......... .......... .......... ..........  0%  209M 2m57s
  3550K .......... .......... .......... .......... ..........  0%  422M 2m55s
  3600K .......... .......... .......... .......... ..........  0%  534M 2m52s
  3650K .......... .......... .......... .......... ..........  0%  495M 2m50s
  3700K .......... .......... .......... .......... ..........  0%  521M 2m48s
  3750K .......... .......... .......... .......... ..........  0%  248K 3m19s
  3800K .......... .......... .......... .......... ..........  0%  119M 3m17s
  3850K .......... .......... .......... .......... ..........  0%  246M 3m14s
  3900K .......... .......... .......... .......... ..........  0%  222M 3m12s
  3950K .......... .......... .......... .......... ..........  0%  159M 3m9s
  4000K .......... .......... .......... .......... ..........  0%  239M 3m7s
  4050K .......... .......... .......... .......... ..........  0%  172M 3m5s
  4100K .......... .......... .......... .......... ..........  0%  204M 3m3s
  4150K .......... .......... .......... .......... ..........  0%  388M 3m0s
  4200K .......... .......... .......... .......... ..........  0%  310M 2m58s
  4250K .......... .......... .......... .......... ..........  0%  441M 2m56s
  4300K .......... .......... .......... .......... ..........  0%  464M 2m54s
  4350K .......... .......... .......... .......... ..........  0%  413M 2m52s
  4400K .......... .......... .......... .......... ..........  0%  448M 2m50s
  4450K .......... .......... .......... .......... ..........  0%  246K 3m17s
  4500K .......... .......... .......... .......... ..........  0%  192M 3m15s
  4550K .......... .......... .......... .......... ..........  0%  149M 3m13s
  4600K .......... .......... .......... .......... ..........  0%  198M 3m11s
  4650K .......... .......... .......... .......... ..........  0%  206M 3m9s
  4700K .......... .......... .......... .......... ..........  0%  200M 3m7s
  4750K .......... .......... .......... .......... ..........  0%  175M 3m5s
  4800K .......... .......... .......... .......... ..........  0%  202M 3m3s
  4850K .......... .......... .......... .......... ..........  0%  193M 3m1s
  4900K .......... .......... .......... .......... ..........  0%  201M 2m59s
  4950K .......... .......... .......... .......... ..........  0%  177M 2m58s
  5000K .......... .......... .......... .......... ..........  0%  203M 2m56s
  5050K .......... .......... .......... .......... ..........  0%  197M 2m54s
  5100K .......... .......... .......... .......... ..........  0%  248K 3m17s
  5150K .......... .......... .......... .......... ..........  0%  120M 3m15s
  5200K .......... .......... .......... .......... ..........  0%  189M 3m14s
  5250K .......... .......... .......... .......... ..........  0%  143M 3m12s
  5300K .......... .......... .......... .......... ..........  0%  198M 3m10s
  5350K .......... .......... .......... .......... ..........  0%  125M 3m8s
