--2016-10-02 17:25:11--  http://10.0.0.3:5004/625M.log
Connecting to 10.0.0.3:5004... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.12’

  4700K .......... .......... .......... .......... ..........  0% 10.6M 3m25s
  4750K .......... .......... .......... .......... ..........  0% 8.09M 3m23s
  4800K .......... .......... .......... .......... ..........  0% 10.1M 3m22s
  4850K .......... .......... .......... .......... ..........  0% 1.82M 3m23s
  4900K .......... .......... .......... .......... ..........  0% 10.6M 3m22s
  4950K .......... .......... .......... .......... ..........  0% 10.1M 3m20s
  5000K .......... .......... .......... .......... ..........  0% 11.1M 3m19s
  5050K .......... .......... .......... .......... ..........  0% 10.6M 3m18s
  5100K .......... .......... .......... .......... ..........  0% 5.05M 3m17s
  5150K .......... .......... .......... .......... ..........  0% 1.79M 3m18s
  5200K .......... .......... .......... .......... ..........  0% 4.43M 3m18s
  5250K .......... .......... .......... .......... ..........  0% 1.79M 3m19s
  5300K .......... .......... .......... .......... ..........  0% 11.2M 3m18s
  5350K .......... .......... .......... .......... ..........  0% 10.6M 3m16s
  5400K .......... .......... .......... .......... ..........  0% 10.6M 3m15s
  5450K .......... .......... .......... .......... ..........  0% 4.34M 3m15s
  5500K .......... .......... .......... .......... ..........  0% 10.6M 3m13s
  5550K .......... .......... .......... .......... ..........  0% 1.41M 3m16s
  5600K .......... .......... .......... .......... ..........  0% 10.1M 3m14s
  5650K .......... .......... .......... .......... ..........  0%  161K 3m47s
  5700K .......... .......... .......... .......... ..........  0%  268M 3m45s
  5750K .......... .......... .......... .......... ..........  0%  312M 3m43s
  5800K .......... .......... .......... .......... ..........  0%  354M 3m41s
  5850K .......... .......... .......... .......... ..........  0%  336M 3m40s
  5900K .......... .......... .......... .......... ..........  0%  218M 3m38s
  5950K .......... .......... .......... .......... ..........  0%  328M 3m36s
  6000K .......... .......... .......... .......... ..........  0%  353M 3m34s
  6050K .......... .......... .......... .......... ..........  0%  396M 3m32s
  6100K .......... .......... .......... .......... ..........  0%  440M 3m31s
  6150K .......... .......... .......... .......... ..........  0%  228M 3m29s
  6200K .......... .......... .......... .......... ..........  0%  387M 3m27s
  6250K .......... .......... .......... .......... ..........  0%  486M 3m26s
  6300K .......... .......... .......... .......... ..........  0%  249K 3m44s
  6350K .......... .......... .......... .......... ..........  1%  618M 3m42s
  6400K .......... .......... .......... .......... ..........  1%  384M 3m40s
  6450K .......... .......... .......... .......... ..........  1%  652M 3m39s
  6500K .......... .......... .......... .......... ..........  1%  490M 3m37s
  6550K .......... .......... .......... .......... ..........  1%  510M 3m35s
  6600K .......... .......... .......... .......... ..........  1%  532M 3m34s
  6650K .......... .......... .......... .......... ..........  1%  492M 3m32s
  6700K .......... .......... .......... .......... ..........  1%  501M 3m31s
  6750K .......... .......... .......... .......... ..........  1%  598M 3m29s
  6800K .......... .......... .......... .......... ..........  1%  526M 3m28s
  6850K .......... .......... .......... .......... ..........  1%  524M 3m26s
  6900K .......... .......... .......... .......... ..........  1%  683M 3m25s
  6950K .......... .......... .......... .......... ..........  1%  249K 3m41s
  7000K .......... .......... .......... .......... ..........  1%  333M 3m40s
  7050K .......... .......... .......... .......... ..........  1%  422M 3m38s
  7100K .......... .......... .......... .......... ..........  1%  329M 3m37s
  7150K .......... .......... .......... .......... ..........  1%  413M 3m35s
  7200K .......... .......... .......... .......... ..........  1%  265M 3m34s
  7250K .......... .......... .......... .......... ..........  1%  379M 3m32s
  7300K .......... .......... .......... .......... ..........  1%  426M 3m31s
  7350K .......... .......... .......... .......... ..........  1%  397M 3m29s
  7400K .......... .......... .......... .......... ..........  1%  263M 3m28s
  7450K .......... .......... .......... .......... ..........  1%  471M 3m26s
  7500K .......... .......... .......... .......... ..........  1%  400M 3m25s
  7550K .......... .......... .......... .......... ..........  1%  323M 3m24s
  7600K .......... .......... .......... .......... ..........  1%  249K 3m39s
  7650K .......... .......... .......... .......... ..........  1%  485M 3m38s
  7700K .......... .......... .......... .......... ..........  1%  440M 3m36s
  7750K .......... .......... .......... .......... ..........  1%  368M 3m35s
  7800K .......... .......... .......... .......... ..........  1%  502M 3m33s
  7850K .......... .......... .......... .......... ..........  1%  504M 3m32s
  7900K .......... .......... .......... .......... ..........  1%  501M 3m31s
  7950K .......... .......... .......... .......... ..........  1%  606M 3m29s
  8000K .......... .......... .......... .......... ..........  1%  324M 3m28s
  8050K .......... .......... .......... .......... ..........  1%  637M 3m27s
  8100K .......... .......... .......... .......... ..........  1%  429M 3m25s
  8150K .......... .......... .......... .......... ..........  1%  595M 3m24s
  8200K .......... .......... .......... .......... ..........  1%  613M 3m23s
  8250K .......... .......... .......... .......... ..........  1%  248K 3m37s
  8300K .......... .......... .......... .......... ..........  1%  356M 3m36s
  8350K .......... .......... .......... .......... ..........  1%  343M 3m34s
  8400K .......... .......... .......... .......... ..........  1%  279M 3m33s
  8450K .......... .......... .......... .......... ..........  1%  260M 3m32s
  8500K .......... .......... .......... .......... ..........  1%  374M 3m31s
  8550K .......... .......... .......... .......... ..........  1%  426M 3m29s
  8600K .......... .......... .......... .......... ..........  1%  305M 3m28s
  8650K .......... .......... .......... .......... ..........  1%  315M 3m27s
  8700K .......... .......... .......... .......... ..........  1%  513M 3m26s
  8750K .......... .......... .......... .......... ..........  1%  225M 3m25s
  8800K .......... .......... .......... .......... ..........  1%  282M 3m23s
  8850K .......... .......... .......... .......... ..........  1%  250M 3m22s
  8900K .......... .......... .......... .......... ..........  1%  249K 3m35s
  8950K .......... .......... .......... .......... ..........  1%  622M 3m34s
  9000K .......... .......... .......... .......... ..........  1%  567M 3m33s
  9050K .......... .......... .......... .......... ..........  1%  637M 3m32s
  9100K .......... .......... .......... .......... ..........  1%  635M 3m31s
  9150K .......... .......... .......... .......... ..........  1%  621M 3m29s
  9200K .......... .......... .......... .......... ..........  1%  619M 3m28s
  9250K .......... .......... .......... .......... ..........  1%  727M 3m27s
  9300K .......... .......... .......... .......... ..........  1%  652M 3m26s
  9350K .......... .......... .......... .......... ..........  1%  705M 3m25s
  9400K .......... .......... .......... .......... ..........  1%  514M 3m24s
  9450K .......... .......... .......... .......... ..........  1%  667M 3m23s
  9500K .......... .......... .......... .......... ..........  1%  502M 3m22s
  9550K .......... .......... .......... .......... ..........  1%  248K 3m34s
  9600K .......... .......... .......... .......... ..........  1%  443M 3m33s
  9650K .......... .......... .......... .......... ..........  1%  572M 3m32s
  9700K .......... .......... .......... .......... ..........  1%  632M 3m31s
  9750K .......... .......... .......... .......... ..........  1%  589M 3m29s
  9800K .......... .......... .......... .......... ..........  1%  396M 3m28s
  9850K .......... .......... .......... .......... ..........  1%  534M 3m27s
  9900K .......... .......... .......... .......... ..........  1%  407M 3m26s
  9950K .......... .......... .......... .......... ..........  1%  477M 3m25s
 10000K .......... .......... .......... .......... ..........  1%  328M 3m24s
 10050K .......... .......... .......... .......... ..........  1%  361M 3m23s
 10100K .......... .......... .......... .......... ..........  1%  440M 3m22s
 10150K .......... .......... .......... .......... ..........  1%  415M 3m21s
 10200K .......... .......... .......... .......... ..........  1%  249K 3m33s
 10250K .......... .......... .......... .......... ..........  1%  440M 3m31s
 10300K .......... .......... .......... .......... ..........  1%  462M 3m30s
 10350K .......... .......... .......... .......... ..........  1%  488M 3m29s
 10400K .......... .......... .......... .......... ..........  1%  452M 3m28s
 10450K .......... .......... .......... .......... ..........  1%  416M 3m27s
 10500K .......... .......... .......... .......... ..........  1%  454M 3m26s
 10550K .......... .......... .......... .......... ..........  1%  448M 3m25s
 10600K .......... .......... .......... .......... ..........  1%  371M 3m24s
 10650K .......... .......... .......... .......... ..........  1%  470M 3m23s
 10700K .......... .......... .......... .......... ..........  1%  235M 3m23s
 10750K .......... .......... .......... .......... ..........  1%  185M 3m22s
 10800K .......... .......... .......... .......... ..........  1%  186M 3m21s
 10850K .......... .......... .......... .......... ..........  1%  249K 3m31s
 10900K .......... .......... .......... .......... ..........  1%  273M 3m30s
 10950K .......... .......... .......... .......... ..........  1%  298M 3m29s
 11000K .......... .......... .......... .......... ..........  1%  266M 3m28s
 11050K .......... .......... .......... .......... ..........  1%  292M 3m28s
 11100K .......... .......... .......... .......... ..........  1%  319M 3m27s
 11150K .......... .......... .......... .......... ..........  1%  316M 3m26s
 11200K .......... .......... .......... .......... ..........  1%  250M 3m25s
 11250K .......... .......... .......... .......... ..........  1%  228M 3m24s
 11300K .......... .......... .......... .......... ..........  1%  304M 3m23s
 11350K .......... .......... .......... .......... ..........  1%  296M 3m22s
 11400K .......... .......... .......... .......... ..........  1%  266M 3m21s
 11450K .......... .......... .......... .......... ..........  1%  340M 3m20s
 11500K .......... .......... .......... .......... ..........  1%  250K 3m30s
 11550K .......... .......... .......... .......... ..........  1%  554M 3m29s
 11600K .......... .......... .......... .......... ..........  1%  501M 3m28s
 11650K .......... .......... .......... .......... ..........  1%  566M 3m28s
 11700K .......... .......... .......... .......... ..........  1%  567M 3m27s
 11750K .......... .......... .......... .......... ..........  1%  629M 3m26s
 11800K .......... .......... .......... .......... ..........  1%  452M 3m25s
 11850K .......... .......... .......... .......... ..........  1%  626M 3m24s
 11900K .......... .......... .......... .......... ..........  1%  672M 3m23s
 11950K .......... .......... .......... .......... ..........  1%  781M 3m22s
 12000K .......... .......... .......... .......... ..........  1%  609M 3m21s
 12050K .......... .......... .......... .......... ..........  1%  590M 3m21s
