--2016-10-02 17:23:51--  http://10.0.0.1:5002/625M.log
Connecting to 10.0.0.1:5002... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.4’

     0K .......... .......... .......... .......... ..........  0% 10.2M 61s
    50K .......... .......... .......... .......... ..........  0% 11.2M 58s
   100K .......... .......... .......... .......... ..........  0% 4.79M 82s
   150K .......... .......... .......... .......... ..........  0% 12.0M 75s
   200K .......... .......... .......... .......... ..........  0% 11.2M 71s
   250K .......... .......... .......... .......... ..........  0% 7.29M 73s
   300K .......... .......... .......... .......... ..........  0% 11.8M 71s
   350K .......... .......... .......... .......... ..........  0% 11.2M 69s
   400K .......... .......... .......... .......... ..........  0% 11.2M 67s
   450K .......... .......... .......... .......... ..........  0% 11.7M 66s
   500K .......... .......... .......... .......... ..........  0% 9.22M 66s
   550K .......... .......... .......... .......... ..........  0% 11.2M 65s
   600K .......... .......... .......... .......... ..........  0% 11.2M 64s
   650K .......... .......... .......... .......... ..........  0% 11.9M 64s
   700K .......... .......... .......... .......... ..........  0% 7.54M 65s
   750K .......... .......... .......... .......... ..........  0% 11.2M 64s
   800K .......... .......... .......... .......... ..........  0% 12.0M 64s
   850K .......... .......... .......... .......... ..........  0% 11.5M 63s
   900K .......... .......... .......... .......... ..........  0%  245K 3m17s
   950K .......... .......... .......... .......... ..........  0% 97.4M 3m7s
  1000K .......... .......... .......... .......... ..........  0%  149M 2m59s
  1050K .......... .......... .......... .......... ..........  0%  116M 2m51s
  1100K .......... .......... .......... .......... ..........  0%  141M 2m44s
  1150K .......... .......... .......... .......... ..........  0% 23.8M 2m38s
  1200K .......... .......... .......... .......... ..........  0% 11.2M 2m34s
  1250K .......... .......... .......... .......... ..........  0% 9.24M 2m30s
  1300K .......... .......... .......... .......... ..........  0% 10.8M 2m27s
  1350K .......... .......... .......... .......... ..........  0% 9.94M 2m24s
  1400K .......... .......... .......... .......... ..........  0% 5.43M 2m23s
  1450K .......... .......... .......... .......... ..........  0% 4.07M 2m23s
  1500K .......... .......... .......... .......... ..........  0% 2.54M 2m27s
  1550K .......... .......... .......... .......... ..........  0% 2.36M 2m30s
  1600K .......... .......... .......... .......... ..........  0% 11.2M 2m27s
  1650K .......... .......... .......... .......... ..........  0% 11.0M 2m25s
  1700K .......... .......... .......... .......... ..........  0% 2.84M 2m27s
  1750K .......... .......... .......... .......... ..........  0% 10.8M 2m24s
  1800K .......... .......... .......... .......... ..........  0% 11.3M 2m22s
  1850K .......... .......... .......... .......... ..........  0% 11.5M 2m20s
  1900K .......... .......... .......... .......... ..........  0% 11.9M 2m17s
  1950K .......... .......... .......... .......... ..........  0%  244K 3m19s
  2000K .......... .......... .......... .......... ..........  0% 68.4M 3m15s
  2050K .......... .......... .......... .......... ..........  0%  115M 3m10s
  2100K .......... .......... .......... .......... ..........  0%  120M 3m6s
  2150K .......... .......... .......... .......... ..........  0%  123M 3m2s
  2200K .......... .......... .......... .......... ..........  0%  102M 2m58s
  2250K .......... .......... .......... .......... ..........  0% 23.2M 2m54s
  2300K .......... .......... .......... .......... ..........  0% 4.71M 2m54s
  2350K .......... .......... .......... .......... ..........  0% 8.40M 2m51s
  2400K .......... .......... .......... .......... ..........  0% 8.55M 2m49s
  2450K .......... .......... .......... .......... ..........  0% 11.2M 2m47s
  2500K .......... .......... .......... .......... ..........  0% 11.5M 2m45s
  2550K .......... .......... .......... .......... ..........  0% 11.2M 2m43s
  2600K .......... .......... .......... .......... ..........  0% 12.6M 2m41s
  2650K .......... .......... .......... .......... ..........  0% 11.1M 2m39s
  2700K .......... .......... .......... .......... ..........  0% 11.2M 2m37s
  2750K .......... .......... .......... .......... ..........  0% 11.2M 2m35s
  2800K .......... .......... .......... .......... ..........  0%  247K 3m18s
  2850K .......... .......... .......... .......... ..........  0%  124M 3m14s
  2900K .......... .......... .......... .......... ..........  0%  140M 3m11s
  2950K .......... .......... .......... .......... ..........  0%  184M 3m8s
  3000K .......... .......... .......... .......... ..........  0%  145M 3m5s
  3050K .......... .......... .......... .......... ..........  0%  130M 3m2s
  3100K .......... .......... .......... .......... ..........  0% 17.1M 3m0s
  3150K .......... .......... .......... .......... ..........  0% 11.2M 2m58s
  3200K .......... .......... .......... .......... ..........  0% 7.60M 2m56s
  3250K .......... .......... .......... .......... ..........  0% 11.4M 2m54s
  3300K .......... .......... .......... .......... ..........  0% 11.3M 2m53s
  3350K .......... .......... .......... .......... ..........  0% 11.5M 2m51s
  3400K .......... .......... .......... .......... ..........  0% 11.3M 2m49s
  3450K .......... .......... .......... .......... ..........  0% 11.2M 2m47s
  3500K .......... .......... .......... .......... ..........  0% 12.6M 2m46s
  3550K .......... .......... .......... .......... ..........  0% 11.1M 2m44s
  3600K .......... .......... .......... .......... ..........  0%  245K 3m17s
  3650K .......... .......... .......... .......... ..........  0%  201M 3m15s
  3700K .......... .......... .......... .......... ..........  0%  207M 3m12s
  3750K .......... .......... .......... .......... ..........  0%  175M 3m10s
  3800K .......... .......... .......... .......... ..........  0%  198M 3m7s
  3850K .......... .......... .......... .......... ..........  0%  235M 3m5s
  3900K .......... .......... .......... .......... ..........  0% 10.7M 3m3s
  3950K .......... .......... .......... .......... ..........  0% 5.89M 3m2s
  4000K .......... .......... .......... .......... ..........  0% 4.12M 3m2s
  4050K .......... .......... .......... .......... ..........  0% 2.88M 3m2s
  4100K .......... .......... .......... .......... ..........  0% 2.36M 3m3s
  4150K .......... .......... .......... .......... ..........  0% 11.2M 3m2s
  4200K .......... .......... .......... .......... ..........  0% 11.2M 3m0s
  4250K .......... .......... .......... .......... ..........  0% 2.78M 3m1s
  4300K .......... .......... .......... .......... ..........  0% 11.1M 2m59s
  4350K .......... .......... .......... .......... ..........  0% 11.9M 2m58s
  4400K .......... .......... .......... .......... ..........  0% 11.3M 2m56s
  4450K .......... .......... .......... .......... ..........  0% 11.2M 2m55s
  4500K .......... .......... .......... .......... ..........  0% 11.9M 2m54s
  4550K .......... .......... .......... .......... ..........  0% 11.2M 2m52s
  4600K .......... .......... .......... .......... ..........  0% 7.96M 2m51s
  4650K .......... .......... .......... .......... ..........  0%  249K 3m17s
  4700K .......... .......... .......... .......... ..........  0%  470M 3m15s
  4750K .......... .......... .......... .......... ..........  0%  405M 3m13s
  4800K .......... .......... .......... .......... ..........  0%  437M 3m11s
  4850K .......... .......... .......... .......... ..........  0%  517M 3m9s
  4900K .......... .......... .......... .......... ..........  0%  495M 3m7s
  4950K .......... .......... .......... .......... ..........  0% 12.8M 3m5s
  5000K .......... .......... .......... .......... ..........  0% 11.1M 3m4s
  5050K .......... .......... .......... .......... ..........  0% 11.8M 3m3s
  5100K .......... .......... .......... .......... ..........  0% 11.2M 3m2s
  5150K .......... .......... .......... .......... ..........  0% 11.2M 3m0s
  5200K .......... .......... .......... .......... ..........  0% 11.2M 2m59s
  5250K .......... .......... .......... .......... ..........  0% 11.5M 2m58s
  5300K .......... .......... .......... .......... ..........  0% 11.8M 2m57s
  5350K .......... .......... .......... .......... ..........  0% 8.76M 2m56s
  5400K .......... .......... .......... .......... ..........  0% 92.9K 3m57s
  5450K .......... .......... .......... .......... ..........  0%  338M 3m55s
  5500K .......... .......... .......... .......... ..........  0%  424M 3m52s
  5550K .......... .......... .......... .......... ..........  0%  404M 3m50s
  5600K .......... .......... .......... .......... ..........  0%  452M 3m48s
  5650K .......... .......... .......... .......... ..........  0%  342M 3m46s
  5700K .......... .......... .......... .......... ..........  0%  511M 3m44s
  5750K .......... .......... .......... .......... ..........  0%  582M 3m42s
  5800K .......... .......... .......... .......... ..........  0%  530M 3m40s
  5850K .......... .......... .......... .......... ..........  0%  491M 3m39s
  5900K .......... .......... .......... .......... ..........  0%  503M 3m37s
  5950K .......... .......... .......... .......... ..........  0%  612M 3m35s
  6000K .......... .......... .......... .......... ..........  0%  553M 3m33s
  6050K .......... .......... .......... .......... ..........  0%  248K 3m52s
  6100K .......... .......... .......... .......... ..........  0%  491M 3m50s
  6150K .......... .......... .......... .......... ..........  0%  564M 3m49s
  6200K .......... .......... .......... .......... ..........  0%  583M 3m47s
  6250K .......... .......... .......... .......... ..........  0%  488M 3m45s
  6300K .......... .......... .......... .......... ..........  0%  577M 3m43s
  6350K .......... .......... .......... .......... ..........  1%  422M 3m41s
  6400K .......... .......... .......... .......... ..........  1%  549M 3m40s
  6450K .......... .......... .......... .......... ..........  1%  506M 3m38s
  6500K .......... .......... .......... .......... ..........  1% 7.42M 3m37s
  6550K .......... .......... .......... .......... ..........  1% 1.51M 3m38s
  6600K .......... .......... .......... .......... ..........  1% 3.20M 3m38s
  6650K .......... .......... .......... .......... ..........  1% 11.2M 3m37s
  6700K .......... .......... .......... .......... ..........  1% 11.5M 3m36s
  6750K .......... .......... .......... .......... ..........  1% 11.8M 3m34s
  6800K .......... .......... .......... .......... ..........  1% 10.9M 3m33s
  6850K .......... .......... .......... .......... ..........  1% 9.37M 3m32s
  6900K .......... .......... .......... .......... ..........  1% 5.42M 3m32s
  6950K .......... .......... .......... .......... ..........  1% 11.6M 3m30s
  7000K .......... .......... .......... .......... ..........  1%  245K 3m47s
  7050K .......... .......... .......... .......... ..........  1%  120M 3m46s
  7100K .......... .......... .......... .......... ..........  1%  202M 3m44s
  7150K .......... .......... .......... .......... ..........  1%  195M 3m42s
  7200K .......... .......... .......... .......... ..........  1%  158M 3m41s
  7250K .......... .......... .......... .......... ..........  1%  172M 3m39s
  7300K .......... .......... .......... .......... ..........  1%  196M 3m38s
  7350K .......... .......... .......... .......... ..........  1%  185M 3m37s
  7400K .......... .......... .......... .......... ..........  1%  200M 3m35s
  7450K .......... .......... .......... .......... ..........  1%  155M 3m34s
  7500K .......... .......... .......... .......... ..........  1%  184M 3m32s
  7550K .......... .......... .......... .......... ..........  1%  140M 3m31s
  7600K .......... .......... .......... .......... ..........  1% 16.2M 3m30s
  7650K .......... .......... .......... .......... ..........  1% 11.5M 3m29s
  7700K .......... .......... .......... .......... ..........  1%  246K 3m44s
  7750K .......... .......... .......... .......... ..........  1%  113M 3m42s
  7800K .......... .......... .......... .......... ..........  1%  120M 3m41s
  7850K .......... .......... .......... .......... ..........  1%  149M 3m40s
  7900K .......... .......... .......... .......... ..........  1%  109M 3m38s
  7950K .......... .......... .......... .......... ..........  1%  138M 3m37s
  8000K .......... .......... .......... .......... ..........  1%  119M 3m36s
  8050K .......... .......... .......... .......... ..........  1%  131M 3m34s
  8100K .......... .......... .......... .......... ..........  1%  133M 3m33s
  8150K .......... .......... .......... .......... ..........  1% 23.6M 3m32s
  8200K .......... .......... .......... .......... ..........  1% 11.3M 3m31s
  8250K .......... .......... .......... .......... ..........  1% 11.9M 3m30s
  8300K .......... .......... .......... .......... ..........  1% 11.2M 3m29s
  8350K .......... .......... .......... .......... ..........  1% 12.6M 3m28s
  8400K .......... .......... .......... .......... ..........  1% 7.94M 3m27s
  8450K .......... .......... .......... .......... ..........  1%  246K 3m41s
  8500K .......... .......... .......... .......... ..........  1%  135M 3m40s
  8550K .......... .......... .......... .......... ..........  1%  330M 3m38s
  8600K .......... .......... .......... .......... ..........  1%  251M 3m37s
  8650K .......... .......... .......... .......... ..........  1%  285M 3m36s
  8700K .......... .......... .......... .......... ..........  1%  288M 3m35s
  8750K .......... .......... .......... .......... ..........  1%  370M 3m34s
  8800K .......... .......... .......... .......... ..........  1%  238M 3m32s
  8850K .......... .......... .......... .......... ..........  1%  347M 3m31s
  8900K .......... .......... .......... .......... ..........  1% 11.7M 3m30s
  8950K .......... .......... .......... .......... ..........  1% 8.71M 3m29s
  9000K .......... .......... .......... .......... ..........  1% 11.3M 3m29s
  9050K .......... .......... .......... .......... ..........  1% 11.2M 3m28s
  9100K .......... .......... .......... .......... ..........  1% 11.2M 3m27s
  9150K .......... .......... .......... .......... ..........  1%  243K 3m40s
  9200K .......... .......... .......... .......... ..........  1% 79.8M 3m39s
  9250K .......... .......... .......... .......... ..........  1%  104M 3m37s
  9300K .......... .......... .......... .......... ..........  1%  110M 3m36s
  9350K .......... .......... .......... .......... ..........  1%  167M 3m35s
  9400K .......... .......... .......... .......... ..........  1%  158M 3m34s
  9450K .......... .......... .......... .......... ..........  1%  160M 3m33s
  9500K .......... .......... .......... .......... ..........  1%  190M 3m32s
  9550K .......... .......... .......... .......... ..........  1%  174M 3m31s
  9600K .......... .......... .......... .......... ..........  1%  186M 3m30s
  9650K .......... .......... .......... .......... ..........  1%  132M 3m29s
  9700K .......... .......... .......... .......... ..........  1%  174M 3m27s
  9750K .......... .......... .......... .......... ..........  1% 14.5M 3m27s
  9800K .......... .......... .......... .......... ..........  1% 11.3M 3m26s
  9850K .......... .......... .......... .......... ..........  1%  242K 3m38s
  9900K .......... .......... .......... .......... ..........  1%  467M 3m37s
  9950K .......... .......... .......... .......... ..........  1%  477M 3m36s
 10000K .......... .......... .......... .......... ..........  1%  791M 3m35s
 10050K .......... .......... .......... .......... ..........  1%  742M 3m34s
 10100K .......... .......... .......... .......... ..........  1%  516M 3m32s
 10150K .......... .......... .......... .......... ..........  1%  819M 3m31s
 10200K .......... .......... .......... .......... ..........  1%  856M 3m30s
 10250K .......... .......... .......... .......... ..........  1%  551M 3m29s
 10300K .......... .......... .......... .......... ..........  1%  829M 3m28s
 10350K .......... .......... .......... .......... ..........  1% 8.15M 3m28s
 10400K .......... .......... .......... .......... ..........  1% 11.2M 3m27s
 10450K .......... .......... .......... .......... ..........  1% 11.2M 3m26s
 10500K .......... .......... .......... .......... ..........  1% 11.2M 3m25s
 10550K .......... .......... .......... .......... ..........  1% 12.6M 3m25s
 10600K .......... .......... .......... .......... ..........  1%  245K 3m36s
 10650K .......... .......... .......... .......... ..........  1%  365M 3m35s
 10700K .......... .......... .......... .......... ..........  1%  423M 3m34s
 10750K .......... .......... .......... .......... ..........  1%  601M 3m33s
 10800K .......... .......... .......... .......... ..........  1%  603M 3m32s
 10850K .......... .......... .......... .......... ..........  1%  540M 3m31s
 10900K .......... .......... .......... .......... ..........  1%  448M 3m30s
 10950K .......... .......... .......... .......... ..........  1%  606M 3m29s
 11000K .......... .......... .......... .......... ..........  1%  589M 3m28s
 11050K .......... .......... .......... .......... ..........  1% 55.8M 3m27s
 11100K .......... .......... .......... .......... ..........  1% 11.2M 3m26s
 11150K .......... .......... .......... .......... ..........  1% 11.5M 3m26s
 11200K .......... .......... .......... .......... ..........  1% 11.2M 3m25s
 11250K .......... .......... .......... .......... ..........  1% 6.17M 3m24s
 11300K .......... .......... .......... .......... ..........  1% 3.15M 3m24s
 11350K .......... .......... .......... .......... ..........  1% 1.97M 3m25s
 11400K .......... .......... .......... .......... ..........  1% 3.60M 3m25s
 11450K .......... .......... .......... .......... ..........  1% 11.2M 3m24s
 11500K .......... .......... .......... .......... ..........  1%  244K 3m34s
 11550K .......... .......... .......... .......... ..........  1%  137M 3m33s
 11600K .......... .......... .......... .......... ..........  1%  189M 3m32s
 11650K .......... .......... .......... .......... ..........  1%  146M 3m31s
 11700K .......... .......... .......... .......... ..........  1%  161M 3m31s
 11750K .......... .......... .......... .......... ..........  1%  143M 3m30s
 11800K .......... .......... .......... .......... ..........  1%  199M 3m29s
 11850K .......... .......... .......... .......... ..........  1%  193M 3m28s
 11900K .......... .......... .......... .......... ..........  1%  114M 3m27s
 11950K .......... .......... .......... .......... ..........  1%  197M 3m26s
 12000K .......... .......... .......... .......... ..........  1%  139M 3m25s
 12050K .......... .......... .......... .......... ..........  1%  191M 3m24s
 12100K .......... .......... .......... .......... ..........  1%  135M 3m24s
 12150K .......... .......... .......... .......... ..........  1% 11.4M 3m23s
 12200K .......... .......... .......... .......... ..........  1%  247K 3m33s
 12250K .......... .......... .......... .......... ..........  1%  135M 3m32s
 12300K .......... .......... .......... .......... ..........  1%  138M 3m31s
 12350K .......... .......... .......... .......... ..........  1%  130M 3m30s
 12400K .......... .......... .......... .......... ..........  1%  145M 3m29s
 12450K .......... .......... .......... .......... ..........  1%  147M 3m28s
 12500K .......... .......... .......... .......... ..........  1%  151M 3m27s
 12550K .......... .......... .......... .......... ..........  1%  135M 3m27s
 12600K .......... .......... .......... .......... ..........  1%  177M 3m26s
 12650K .......... .......... .......... .......... ..........  1%  153M 3m25s
 12700K .......... .......... .......... .......... ..........  1% 16.3M 3m24s
