--2016-10-02 17:23:31--  http://10.0.0.2:5001/625M.log
Connecting to 10.0.0.2:5001... connected.
HTTP request sent, awaiting response... 200 OK
Length: 655360000 (625M) [application/octet-stream]
Saving to: ‘625M.log.2’

  4950K .......... .......... .......... .......... ..........  0%  181M 3m15s
  5000K .......... .......... .......... .......... ..........  0%  126M 3m14s
  5050K .......... .......... .......... .......... ..........  0%  155M 3m12s
  5100K .......... .......... .......... .......... ..........  0%  139M 3m10s
  5150K .......... .......... .......... .......... ..........  0%  193M 3m8s
  5200K .......... .......... .......... .......... ..........  0%  159M 3m6s
  5250K .......... .......... .......... .......... ..........  0%  137M 3m5s
  5300K .......... .......... .......... .......... ..........  0%  193M 3m3s
  5350K .......... .......... .......... .......... ..........  0%  146M 3m1s
  5400K .......... .......... .......... .......... ..........  0%  167M 3m0s
  5450K .......... .......... .......... .......... ..........  0%  176M 2m58s
  5500K .......... .......... .......... .......... ..........  0%  143M 2m56s
  5550K .......... .......... .......... .......... ..........  0%  248K 3m18s
  5600K .......... .......... .......... .......... ..........  0%  142M 3m16s
  5650K .......... .......... .......... .......... ..........  0%  143M 3m14s
  5700K .......... .......... .......... .......... ..........  0%  185M 3m12s
  5750K .......... .......... .......... .......... ..........  0%  146M 3m11s
  5800K .......... .......... .......... .......... ..........  0%  157M 3m9s
  5850K .......... .......... .......... .......... ..........  0%  140M 3m8s
  5900K .......... .......... .......... .......... ..........  0%  179M 3m6s
  5950K .......... .......... .......... .......... ..........  0%  156M 3m5s
  6000K .......... .......... .......... .......... ..........  0%  152M 3m3s
  6050K .......... .......... .......... .......... ..........  0%  138M 3m2s
  6100K .......... .......... .......... .......... ..........  0%  143M 3m0s
  6150K .......... .......... .......... .......... ..........  0%  169M 2m59s
  6200K .......... .......... .......... .......... ..........  0%  248K 3m18s
  6250K .......... .......... .......... .......... ..........  0%  157M 3m16s
  6300K .......... .......... .......... .......... ..........  0%  102M 3m15s
  6350K .......... .......... .......... .......... ..........  1%  165M 3m13s
  6400K .......... .......... .......... .......... ..........  1%  111M 3m12s
  6450K .......... .......... .......... .......... ..........  1%  160M 3m10s
  6500K .......... .......... .......... .......... ..........  1%  117M 3m9s
  6550K .......... .......... .......... .......... ..........  1%  136M 3m7s
  6600K .......... .......... .......... .......... ..........  1%  231M 3m6s
  6650K .......... .......... .......... .......... ..........  1%  352M 3m4s
  6700K .......... .......... .......... .......... ..........  1%  359M 3m3s
  6750K .......... .......... .......... .......... ..........  1%  512M 3m2s
  6800K .......... .......... .......... .......... ..........  1%  348M 3m0s
  6850K .......... .......... .......... .......... ..........  1%  248K 3m18s
  6900K .......... .......... .......... .......... ..........  1%  117M 3m16s
  6950K .......... .......... .......... .......... ..........  1%  194M 3m15s
  7000K .......... .......... .......... .......... ..........  1%  117M 3m13s
  7050K .......... .......... .......... .......... ..........  1%  120M 3m12s
  7100K .......... .......... .......... .......... ..........  1%  119M 3m11s
  7150K .......... .......... .......... .......... ..........  1%  352M 3m9s
  7200K .......... .......... .......... .......... ..........  1%  376M 3m8s
  7250K .......... .......... .......... .......... ..........  1%  517M 3m7s
  7300K .......... .......... .......... .......... ..........  1%  471M 3m6s
  7350K .......... .......... .......... .......... ..........  1%  503M 3m4s
  7400K .......... .......... .......... .......... ..........  1%  556M 3m3s
  7450K .......... .......... .......... .......... ..........  1%  672M 3m2s
