PING 10.0.0.6 (10.0.0.6) 56(84) bytes of data.
64 bytes from 10.0.0.6: icmp_seq=1 ttl=64 time=7.99 ms
64 bytes from 10.0.0.6: icmp_seq=2 ttl=64 time=1.27 ms
64 bytes from 10.0.0.6: icmp_seq=3 ttl=64 time=2.00 ms
64 bytes from 10.0.0.6: icmp_seq=4 ttl=64 time=5.51 ms
64 bytes from 10.0.0.6: icmp_seq=5 ttl=64 time=4.98 ms
64 bytes from 10.0.0.6: icmp_seq=6 ttl=64 time=3.49 ms
64 bytes from 10.0.0.6: icmp_seq=7 ttl=64 time=1.84 ms
64 bytes from 10.0.0.6: icmp_seq=8 ttl=64 time=2.50 ms
64 bytes from 10.0.0.6: icmp_seq=9 ttl=64 time=11.5 ms
64 bytes from 10.0.0.6: icmp_seq=10 ttl=64 time=2.99 ms
64 bytes from 10.0.0.6: icmp_seq=11 ttl=64 time=4.98 ms
64 bytes from 10.0.0.6: icmp_seq=12 ttl=64 time=3.04 ms
64 bytes from 10.0.0.6: icmp_seq=13 ttl=64 time=0.052 ms
64 bytes from 10.0.0.6: icmp_seq=14 ttl=64 time=0.432 ms
64 bytes from 10.0.0.6: icmp_seq=15 ttl=64 time=1.49 ms
64 bytes from 10.0.0.6: icmp_seq=16 ttl=64 time=1.58 ms
64 bytes from 10.0.0.6: icmp_seq=17 ttl=64 time=5.99 ms
64 bytes from 10.0.0.6: icmp_seq=18 ttl=64 time=9.46 ms
64 bytes from 10.0.0.6: icmp_seq=19 ttl=64 time=15.0 ms
64 bytes from 10.0.0.6: icmp_seq=20 ttl=64 time=22.5 ms
64 bytes from 10.0.0.6: icmp_seq=21 ttl=64 time=14.5 ms
64 bytes from 10.0.0.6: icmp_seq=22 ttl=64 time=11.0 ms
64 bytes from 10.0.0.6: icmp_seq=23 ttl=64 time=8.33 ms
64 bytes from 10.0.0.6: icmp_seq=24 ttl=64 time=3.04 ms
64 bytes from 10.0.0.6: icmp_seq=25 ttl=64 time=1.56 ms
64 bytes from 10.0.0.6: icmp_seq=26 ttl=64 time=2.96 ms
64 bytes from 10.0.0.6: icmp_seq=27 ttl=64 time=5.13 ms
64 bytes from 10.0.0.6: icmp_seq=28 ttl=64 time=1.04 ms
64 bytes from 10.0.0.6: icmp_seq=29 ttl=64 time=1.50 ms
64 bytes from 10.0.0.6: icmp_seq=30 ttl=64 time=1.49 ms
64 bytes from 10.0.0.6: icmp_seq=31 ttl=64 time=2.99 ms
64 bytes from 10.0.0.6: icmp_seq=32 ttl=64 time=4.71 ms
64 bytes from 10.0.0.6: icmp_seq=33 ttl=64 time=3.62 ms
64 bytes from 10.0.0.6: icmp_seq=34 ttl=64 time=3.50 ms
64 bytes from 10.0.0.6: icmp_seq=35 ttl=64 time=1.55 ms
64 bytes from 10.0.0.6: icmp_seq=36 ttl=64 time=1.54 ms
64 bytes from 10.0.0.6: icmp_seq=37 ttl=64 time=1.49 ms
64 bytes from 10.0.0.6: icmp_seq=38 ttl=64 time=1.00 ms
64 bytes from 10.0.0.6: icmp_seq=39 ttl=64 time=0.534 ms
64 bytes from 10.0.0.6: icmp_seq=40 ttl=64 time=0.450 ms
64 bytes from 10.0.0.6: icmp_seq=41 ttl=64 time=0.076 ms
64 bytes from 10.0.0.6: icmp_seq=42 ttl=64 time=0.433 ms
64 bytes from 10.0.0.6: icmp_seq=43 ttl=64 time=1.02 ms
64 bytes from 10.0.0.6: icmp_seq=44 ttl=64 time=0.716 ms
64 bytes from 10.0.0.6: icmp_seq=45 ttl=64 time=0.814 ms
64 bytes from 10.0.0.6: icmp_seq=46 ttl=64 time=0.585 ms
