PING 10.0.0.5 (10.0.0.5) 56(84) bytes of data.
64 bytes from 10.0.0.5: icmp_seq=82 ttl=64 time=0.474 ms
64 bytes from 10.0.0.5: icmp_seq=83 ttl=64 time=1.01 ms
64 bytes from 10.0.0.5: icmp_seq=84 ttl=64 time=1.07 ms
64 bytes from 10.0.0.5: icmp_seq=85 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=86 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=87 ttl=64 time=1.07 ms
64 bytes from 10.0.0.5: icmp_seq=88 ttl=64 time=1.04 ms
64 bytes from 10.0.0.5: icmp_seq=89 ttl=64 time=0.676 ms
64 bytes from 10.0.0.5: icmp_seq=90 ttl=64 time=0.949 ms
64 bytes from 10.0.0.5: icmp_seq=91 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=92 ttl=64 time=0.130 ms
64 bytes from 10.0.0.5: icmp_seq=93 ttl=64 time=0.252 ms
64 bytes from 10.0.0.5: icmp_seq=94 ttl=64 time=0.240 ms
64 bytes from 10.0.0.5: icmp_seq=95 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=96 ttl=64 time=0.495 ms
64 bytes from 10.0.0.5: icmp_seq=97 ttl=64 time=0.454 ms
64 bytes from 10.0.0.5: icmp_seq=98 ttl=64 time=0.143 ms
64 bytes from 10.0.0.5: icmp_seq=99 ttl=64 time=0.489 ms
64 bytes from 10.0.0.5: icmp_seq=100 ttl=64 time=0.082 ms
64 bytes from 10.0.0.5: icmp_seq=101 ttl=64 time=0.972 ms
64 bytes from 10.0.0.5: icmp_seq=102 ttl=64 time=0.544 ms
64 bytes from 10.0.0.5: icmp_seq=103 ttl=64 time=1.02 ms
64 bytes from 10.0.0.5: icmp_seq=104 ttl=64 time=0.408 ms
64 bytes from 10.0.0.5: icmp_seq=105 ttl=64 time=0.515 ms
64 bytes from 10.0.0.5: icmp_seq=106 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=107 ttl=64 time=1.45 ms
64 bytes from 10.0.0.5: icmp_seq=108 ttl=64 time=0.500 ms
64 bytes from 10.0.0.5: icmp_seq=109 ttl=64 time=0.321 ms
64 bytes from 10.0.0.5: icmp_seq=110 ttl=64 time=0.497 ms
64 bytes from 10.0.0.5: icmp_seq=111 ttl=64 time=1.49 ms
64 bytes from 10.0.0.5: icmp_seq=112 ttl=64 time=2.56 ms
64 bytes from 10.0.0.5: icmp_seq=113 ttl=64 time=0.969 ms
64 bytes from 10.0.0.5: icmp_seq=114 ttl=64 time=0.978 ms
64 bytes from 10.0.0.5: icmp_seq=115 ttl=64 time=0.023 ms
64 bytes from 10.0.0.5: icmp_seq=116 ttl=64 time=0.086 ms
64 bytes from 10.0.0.5: icmp_seq=117 ttl=64 time=0.566 ms
64 bytes from 10.0.0.5: icmp_seq=118 ttl=64 time=1.43 ms
64 bytes from 10.0.0.5: icmp_seq=119 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=120 ttl=64 time=1.01 ms
64 bytes from 10.0.0.5: icmp_seq=121 ttl=64 time=1.01 ms
64 bytes from 10.0.0.5: icmp_seq=122 ttl=64 time=0.526 ms
64 bytes from 10.0.0.5: icmp_seq=123 ttl=64 time=0.092 ms
64 bytes from 10.0.0.5: icmp_seq=124 ttl=64 time=0.361 ms
64 bytes from 10.0.0.5: icmp_seq=125 ttl=64 time=0.959 ms
64 bytes from 10.0.0.5: icmp_seq=126 ttl=64 time=0.639 ms
64 bytes from 10.0.0.5: icmp_seq=127 ttl=64 time=0.518 ms
64 bytes from 10.0.0.5: icmp_seq=128 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=129 ttl=64 time=0.525 ms
64 bytes from 10.0.0.5: icmp_seq=130 ttl=64 time=1.47 ms
64 bytes from 10.0.0.5: icmp_seq=131 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=132 ttl=64 time=1.43 ms
64 bytes from 10.0.0.5: icmp_seq=133 ttl=64 time=1.03 ms
64 bytes from 10.0.0.5: icmp_seq=134 ttl=64 time=0.190 ms
64 bytes from 10.0.0.5: icmp_seq=135 ttl=64 time=0.912 ms
64 bytes from 10.0.0.5: icmp_seq=136 ttl=64 time=0.362 ms
64 bytes from 10.0.0.5: icmp_seq=137 ttl=64 time=1.48 ms
64 bytes from 10.0.0.5: icmp_seq=138 ttl=64 time=1.01 ms
64 bytes from 10.0.0.5: icmp_seq=139 ttl=64 time=0.507 ms
64 bytes from 10.0.0.5: icmp_seq=140 ttl=64 time=0.791 ms
64 bytes from 10.0.0.5: icmp_seq=141 ttl=64 time=0.478 ms
64 bytes from 10.0.0.5: icmp_seq=142 ttl=64 time=1.50 ms
64 bytes from 10.0.0.5: icmp_seq=143 ttl=64 time=1.00 ms
64 bytes from 10.0.0.5: icmp_seq=144 ttl=64 time=0.500 ms
64 bytes from 10.0.0.5: icmp_seq=145 ttl=64 time=0.907 ms
64 bytes from 10.0.0.5: icmp_seq=146 ttl=64 time=1.49 ms
64 bytes from 10.0.0.5: icmp_seq=147 ttl=64 time=0.513 ms
64 bytes from 10.0.0.5: icmp_seq=148 ttl=64 time=0.395 ms
64 bytes from 10.0.0.5: icmp_seq=149 ttl=64 time=1.01 ms
64 bytes from 10.0.0.5: icmp_seq=150 ttl=64 time=0.538 ms
64 bytes from 10.0.0.5: icmp_seq=151 ttl=64 time=0.377 ms
64 bytes from 10.0.0.5: icmp_seq=152 ttl=64 time=0.984 ms
